sSensor-2,0,2021-12-11T09:59:57.803Z
Sensor-2,9.983341664682815,2021-12-11T09:59:58.809Z
Sensor-2,19.866933079506122,2021-12-11T09:59:59.823Z
Sensor-2,29.55202066613396,2021-12-11T10:00:00.824Z
Sensor-2,38.941834230865055,2021-12-11T10:00:01.828Z
Sensor-2,47.942553860420304,2021-12-11T10:00:02.848Z
Sensor-2,56.46424733950354,2021-12-11T10:00:03.850Z
Sensor-2,64.4217687237691,2021-12-11T10:00:04.858Z
Sensor-2,71.73560908995226,2021-12-11T10:00:05.866Z
Sensor-2,78.33269096274833,2021-12-11T10:00:06.877Z
Sensor-2,84.14709848078964,2021-12-11T10:00:07.889Z
Sensor-2,89.12073600614353,2021-12-11T10:00:08.901Z
Sensor-2,93.20390859672263,2021-12-11T10:00:09.921Z
Sensor-2,96.3558185417193,2021-12-11T10:00:10.918Z
Sensor-2,98.54497299884602,2021-12-11T10:00:11.934Z
Sensor-2,99.74949866040545,2021-12-11T10:00:12.948Z
Sensor-2,99.95736030415051,2021-12-11T10:00:13.961Z
Sensor-2,99.16648104524685,2021-12-11T10:00:14.971Z
Sensor-2,97.38476308781951,2021-12-11T10:00:15.965Z
Sensor-2,94.63000876874143,2021-12-11T10:00:16.982Z
Sensor-2,90.92974268256815,2021-12-11T10:00:17.992Z
Sensor-2,86.32093666488736,2021-12-11T10:00:18.991Z
Sensor-2,80.84964038195899,2021-12-11T10:00:20.002Z
